feature,mean_abs_shap,experiment,seed,fold
s4,0.0031316427247434775,boosting_suite_xgboost_baseline,77,-1
s5,0.0047862090183744274,boosting_suite_xgboost_baseline,77,-1
s6,0.003568942829167554,boosting_suite_xgboost_baseline,77,-1
target,0.006991926196277005,boosting_suite_xgboost_baseline,77,-1
age,0.004732507074260909,boosting_suite_xgboost_baseline,77,-1
bmi,0.007619996814726034,boosting_suite_xgboost_baseline,77,-1
bp,0.007742592118485344,boosting_suite_xgboost_baseline,77,-1
s1,0.004653322783571504,boosting_suite_xgboost_baseline,77,-1
s2,0.0033757997839704247,boosting_suite_xgboost_baseline,77,-1
s3,0.011703836363188072,boosting_suite_xgboost_baseline,77,-1
s4,0.0038765608367377752,boosting_suite_xgboost_baseline,77,-1
s5,0.0034426505920497003,boosting_suite_xgboost_baseline,77,-1
s6,0.0038128300537487976,boosting_suite_xgboost_baseline,77,-1
target,0.006210308376088197,boosting_suite_xgboost_baseline,77,-1
age,0.005180228884587897,boosting_suite_xgboost_baseline,77,-1
bmi,0.007457831554692107,boosting_suite_xgboost_baseline,77,-1
bp,0.00925762379820351,boosting_suite_xgboost_baseline,77,-1
s1,0.0030070501185684275,boosting_suite_xgboost_baseline,77,-1
s2,0.0026821912831572216,boosting_suite_xgboost_baseline,77,-1
s3,0.010113008552499508,boosting_suite_xgboost_baseline,77,-1
s4,0.004536621494928142,boosting_suite_xgboost_baseline,77,-1
s5,0.00539879055282071,boosting_suite_xgboost_baseline,77,-1
s6,0.004572877936551021,boosting_suite_xgboost_baseline,77,-1
target,0.006463837982251943,boosting_suite_xgboost_baseline,77,-1
age,0.00581746877133467,boosting_suite_xgboost_baseline,77,-1
bmi,0.006733814239214043,boosting_suite_xgboost_baseline,77,-1
bp,0.010919507796218688,boosting_suite_xgboost_baseline,77,-1
s1,0.0029691554834617518,boosting_suite_xgboost_baseline,77,-1
s2,0.0020702189444158515,boosting_suite_xgboost_baseline,77,-1
s3,0.012774884456317368,boosting_suite_xgboost_baseline,77,-1
s4,0.004149089764553803,boosting_suite_xgboost_baseline,77,-1
s5,0.0049398990414145335,boosting_suite_xgboost_baseline,77,-1
s6,0.004052623114827018,boosting_suite_xgboost_baseline,77,-1
target,0.006358390375996826,boosting_suite_xgboost_baseline,77,-1
age,0.007141327848303689,boosting_suite_xgboost_baseline,77,-1
bmi,0.006906502179271071,boosting_suite_xgboost_baseline,77,-1
bp,0.007438206201559789,boosting_suite_xgboost_baseline,77,-1
s1,0.004781453292279283,boosting_suite_xgboost_baseline,77,-1
s2,0.002960148342687353,boosting_suite_xgboost_baseline,77,-1
s3,0.012636468492023318,boosting_suite_xgboost_baseline,77,-1
s4,0.004162347343512907,boosting_suite_xgboost_baseline,77,-1
s5,0.004395997701563059,boosting_suite_xgboost_baseline,77,-1
s6,0.00370700728153538,boosting_suite_xgboost_baseline,77,-1
target,0.006476126427079561,boosting_suite_xgboost_baseline,77,-1
age,0.006010667339565718,feature_ablation_xgboost_baseline,42,-1
bmi,0.007150648043823662,feature_ablation_xgboost_baseline,42,-1
bp,0.00805476743997889,feature_ablation_xgboost_baseline,42,-1
s1,0.003283408657385408,feature_ablation_xgboost_baseline,42,-1
s2,0.0022234744353204533,feature_ablation_xgboost_baseline,42,-1
s3,0.012654534211569934,feature_ablation_xgboost_baseline,42,-1
s4,0.0036385094137898837,feature_ablation_xgboost_baseline,42,-1
s5,0.005085404502963269,feature_ablation_xgboost_baseline,42,-1
s6,0.004248655978247335,feature_ablation_xgboost_baseline,42,-1
target,0.006675411645240881,feature_ablation_xgboost_baseline,42,-1
age,0.004835507376246833,feature_ablation_xgboost_baseline,42,-1
bmi,0.007319371266761216,feature_ablation_xgboost_baseline,42,-1
bp,0.009058438790588843,feature_ablation_xgboost_baseline,42,-1
s1,0.004059110118691951,feature_ablation_xgboost_baseline,42,-1
s2,0.002599620589586721,feature_ablation_xgboost_baseline,42,-1
s3,0.009082101227811711,feature_ablation_xgboost_baseline,42,-1
